userName,score,at,content
Pengguna Google,1,08-09-2024 02:40,"Tolong, saya ingin mengganti no hp Saya yang tidak aktif lagi. Tapi kenapa shopee malah memberikan kode otp ke no HP yang sudah tidak aktif?. Seharusnya ada cara lain untuk melakukan pergantian no hp. Jika begini akan mempersulit orang yang ingin Menganti no hp yang baru. Dan tidaklah mungkin saya harus Menganti akun Shopee saya. Saya harapkan anda mengerti dan segera menindaklanjutinya dengan baik ok."
Pengguna Google,5,08-09-2024 02:40,"Untuk aplikasi bintang 5,tapi untuk pihak jasa kirim selain SPX,JNE,JNT, Bintang 1. Tolong benar-benar di perhatikan. pengiriman sangat lama untuk daerah saya."
Pengguna Google,5,08-09-2024 02:39,aplikasinya bagus banget😍😍😍😍
Pengguna Google,4,08-09-2024 02:39,mantap
Pengguna Google,5,08-09-2024 02:39,Lebih suka belanja apapun lewat shopee harga lebih hemat waktu juga lebih hemat
Pengguna Google,5,08-09-2024 02:38,terbaik
Pengguna Google,5,08-09-2024 02:38,Pelayanannya cepat
Pengguna Google,5,08-09-2024 02:37,Mohon spaylater saya dikonfirmasi
Pengguna Google,4,08-09-2024 02:37,tolong kembalikan shopee luar negeri plisss ╥﹏╥😔🙏🏻
Pengguna Google,2,08-09-2024 02:37,"berat loadingnya,, lemot ,, beda dgn app shoping lainnya ringan,! pengirimannya teramat sangat lambat sekali, acara banyak yg ambyar gara gara nungguin paket,Krn pemberitahuan estimasi kirimnya juga lambat UPDATE,,, jadi mulai males beli di sini"
Pengguna Google,5,08-09-2024 02:37,"Tempat belanja terbaik, produknya murah² lagi dan banyak voucher nya, mantapppp deh👍"
Pengguna Google,5,08-09-2024 02:36,bagus
Pengguna Google,5,08-09-2024 02:35,Oke
Pengguna Google,5,08-09-2024 02:32,mantap tanpa ribet
Pengguna Google,5,08-09-2024 02:32,acc min pinjeman
Pengguna Google,5,08-09-2024 02:29,Mantab
Pengguna Google,5,08-09-2024 02:25,👍👍👍👍👍👍👍👍
Pengguna Google,3,08-09-2024 02:24,Lebih banyakin diskon nya
Pengguna Google,5,08-09-2024 02:22,Bagus oke sip rekomendet
Pengguna Google,1,08-09-2024 02:22,apk tai
Pengguna Google,5,08-09-2024 02:18,Pengiriman yang cepat
Pengguna Google,5,08-09-2024 02:17,Mantapv
Pengguna Google,1,08-09-2024 02:16,"Kalo mau kirim barang paket itu yaa wa dulu ya, jangan langsung njujuk di rumah, kalo saya ga di rumah di wa , ntar ujungnya akun Shope yg kena banned, TOLOL"
Pengguna Google,5,08-09-2024 02:15,Sangat membantu
Pengguna Google,1,08-09-2024 02:14,Akun dibatasi padahal ngga melakukan aktivitas mencurigakan dan saya juga gapunya tagihan ke Shopee-Pay
Pengguna Google,5,08-09-2024 02:14,mantap bos
Pengguna Google,5,08-09-2024 02:14,Omvk
Pengguna Google,1,08-09-2024 02:13,NOT RECOMMENDED
Pengguna Google,5,08-09-2024 02:13,Mantap...
Pengguna Google,1,08-09-2024 02:12,Biaya admin token listrik 1jt gede banget 41rb. Gila..
Pengguna Google,3,08-09-2024 02:12,"Awalnya Suka banget pake shopee, kurirnya juga fast respon,tapi semenjak kurir yang lama berhenti pihak ekspedisi malah seenaknya,blom diantar ke alamat tujuan malah ngasih alasan ditolak pembeli 🤧mungkin karena cod cek dulu makanya gak dianterin 😤 malah dikembalikan ke penjual😑"
Pengguna Google,5,08-09-2024 02:11,Sangat membantu sekali dan semoga jadi lebih baik lagi
Pengguna Google,5,08-09-2024 02:10,Bagus
Pengguna Google,5,08-09-2024 02:10,Sangat puas dengan pelayanannya.pengiriman barang tepat waktu.... saya selalu pilih sopie soal belanja onlin semoga tambah jaya buat sopie...
Pengguna Google,5,08-09-2024 02:10,"Terimakasih shopee emang kamu tu bukan fisik yang bisa saya temui, tapi kamu tuh the best gitu, membantu banget buat aku belanja secara gampang, dan Alhamdulillah shopee mengaktifkan fitur COD cek dulu buat aku terbantu banget cz sering juga aku belanja di toko yang tidak amanah langsung di retur donk, klo dulu sebelum ada COD cek dulu aku tu sll melakukan tf setiap belanja supaya klo ketemu toko gk amanah tinggal buat resi, sekarang serba gampang, apalagi setiap belanja banyak diskon nya dong🤭"
Pengguna Google,5,08-09-2024 02:10,Bagus bangwt
Pengguna Google,5,08-09-2024 02:09,Banyakin range koinnya dong shopee
Pengguna Google,5,08-09-2024 02:07,Pengalaman saya sampai saat ini shoppe selalu memberikan terbaik. Terima Kasih.
Pengguna Google,5,08-09-2024 02:06,Oke
Pengguna Google,5,08-09-2024 02:06,"Makin banyak biaya belanja di shopee skrg isi shopee ada biayanya,isi pakai BCA ada biaya penanganannya juga,jadi double biaya,makin kesini makin gak enak padahal udah langganan."
Pengguna Google,5,08-09-2024 02:06,"The best app, banyak diskon, pinjaman shopee dipermudah aman"
Pengguna Google,5,08-09-2024 02:06,Member gold sophee pay 900 K Jadi bisa ngerem belanja malah ditambah limit extra... Wah gimana nih.... 🤔
Pengguna Google,5,08-09-2024 02:05,Bintang 5
Pengguna Google,1,08-09-2024 02:04,Iklan nya mengganggu sekali... Tolong hapus iklan nya !...
Pengguna Google,1,08-09-2024 02:04,Pelayanan diskusi ribet lelet pisan asu
Pengguna Google,5,08-09-2024 02:04,Oke
Pengguna Google,5,08-09-2024 02:02,Mantaaaap p
Pengguna Google,5,08-09-2024 02:02,Mantul
Pengguna Google,5,08-09-2024 02:02,Bagus banget
Pengguna Google,5,08-09-2024 02:00,"Worth it, barangnya selalu datang tepat waktu"
Pengguna Google,5,08-09-2024 01:59,"Berguna banget sih bagi remaja kayak aku. Anak anak remaja tuh emang kepingin banget barang-barang yg lucu lucu terus yg imut imut. Termasuk aku pencinta seluruh komik. Selalu murah harganya, makanya aku suka beli di Shopee mamah aku, emang paling top deh buat se-Indonesia. Thx Shopee, selalu berikan yg terbaik untuk kita semua! :3"
Pengguna Google,5,08-09-2024 01:58,Semoga tambah kaya sopie
Pengguna Google,5,08-09-2024 01:58,Pokoke shope barngy ngga kaleng kaleng
Pengguna Google,1,08-09-2024 01:57,Susah amat login nya padahal udh verifikasi link tapi masih disuruh login
Pengguna Google,5,08-09-2024 01:57,Apk good
Pengguna Google,5,08-09-2024 01:57,Bintang menunjuk kan isi hati 🤣
Pengguna Google,1,08-09-2024 01:56,Shopee Game lu Riggg kali pembohonk publik
Pengguna Google,5,08-09-2024 01:56,Mantap
Pengguna Google,5,08-09-2024 01:55,Sangat bgus buat sya yg suka chekout
Pengguna Google,5,08-09-2024 01:55,Mantap
Pengguna Google,1,08-09-2024 01:54,Iklan dimana mana gak jelass iklan mending di lazada
Pengguna Google,5,08-09-2024 01:54,sopee memudahkan kita berbelanja
Pengguna Google,5,08-09-2024 01:53,Semoga shopee terus maju dan berkembang.dan mudah mudahan saya jadi top creator di shopee video🤲🤲🤲
Pengguna Google,3,08-09-2024 01:52,"Sering kali Barang yg di kirim Tdk cocok dgn pesanan.psn gula 1kg setelah nyampek cuma 1/5kg,psn 1set panci isi 5 ternyata cuma 1 panci kecil terus HP Oppo Reno setelah di kirim cuma mainan ini sekedar masukan aja BossQ ?"
Pengguna Google,5,08-09-2024 01:50,Memudahkan untuk belanja
Pengguna Google,5,08-09-2024 01:50,Oke.
Pengguna Google,5,08-09-2024 01:50,Sangat Baik Dan Saya Suak Shoppe
Pengguna Google,5,08-09-2024 01:50,Solusi belanja online yang pasti memuaskan
Pengguna Google,5,08-09-2024 01:50,👍👍
Pengguna Google,5,08-09-2024 01:49,bagussss bangettt sukses selalu
Pengguna Google,5,08-09-2024 01:48,bagussss bagettt
Pengguna Google,5,08-09-2024 01:48,Bagus dh lama saya pakai cuman nge bug agak parah si layar putih lambat scrol kadang gak bisa pencet
Pengguna Google,5,08-09-2024 01:47,Sopy sangat Baik dan bertangung jawab
Pengguna Google,5,08-09-2024 01:46,Jos
Pengguna Google,5,08-09-2024 01:42,Shopping online yang terbaik. Memberi kemudahan dalam berbelanja. Thanks Shoopee
Pengguna Google,5,08-09-2024 01:42,Shopee memang keren dan melayani dengan sangat baik. Tingkatkan terus kualitas layanannya. Siip
Pengguna Google,4,08-09-2024 01:41,Oke lah pokoknya 👍👍 Tetap jaga kwalitas dn kuantitas yaa
Pengguna Google,5,08-09-2024 01:37,sangat terbantu
Pengguna Google,3,08-09-2024 01:37,agus
Pengguna Google,5,08-09-2024 01:37,Layanan shopee membuat hidup saya jadi lebih mudah
Pengguna Google,5,08-09-2024 01:37,Ok
Pengguna Google,1,08-09-2024 01:36,Spaylater di nonaktifkan gabisa di aktifin lagi
Pengguna Google,3,08-09-2024 01:35,"Ada bug, dibali harus nya badung bukan bandung"
Pengguna Google,3,08-09-2024 01:34,kenapa yaa kalo cekout suka beda sama yang di poto??
Pengguna Google,4,08-09-2024 01:34,"Lebih ditingkatkan lagi pengiriman barangnya,dan lebih bnyak lagi promo2 menariknya"
Pengguna Google,4,08-09-2024 01:34,Mengispiras sllu
Pengguna Google,5,08-09-2024 01:34,Bagus
Pengguna Google,5,08-09-2024 01:34,Ok
Pengguna Google,5,08-09-2024 01:33,Mantap
Pengguna Google,1,08-09-2024 01:31,bad bgt gila
Pengguna Google,5,08-09-2024 01:31,Terimakasih Shoppe Kamu Salah Satunya Pilih Saya Untuk Berbelanja Dan Banyak Voucher Gratis Ongkirnya
Pengguna Google,5,08-09-2024 01:29,ok
Pengguna Google,1,08-09-2024 01:28,Mau pencet tanda x ternyata tanda x bagian dari iklan
Pengguna Google,5,08-09-2024 01:28,Sangat puas dengan performa kerjanya
Pengguna Google,1,08-09-2024 01:23,"Sering minta update tapi masih aja terjadi eror 👎 Dan heran nya gatau knp banyak seller yg gak amanah Aku sering dapat barang yg gak sesuai Lebih bagusan aplikasi sebelah Saran saya,tolong direspon ulasan2 para pembeli yg barang nya gak sesuai untuk dijadikan evaluasi,agar pembeli tidak merasa kecewa"
Pengguna Google,1,08-09-2024 01:22,Parahhhh paraaaahh kecewa sekali Padahal saya sering pesan BRG d shoope tapi SDH brpa x juga kecewa tapi kali ini paling kecewa BRG d kembalikan secara sepihak tanpa konfirmasi alasan no TDK bisa d hub
Pengguna Google,5,08-09-2024 01:21,Bagus
Pengguna Google,1,08-09-2024 01:21,woy jan spam iklan mulu lah
